Unnamed: 0,ISRC,Spotify ID,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
145874,QMFMG1454897,6QjiRMT2UX6DIUn6aDXqDf,Clickity Clack,Alela Diane,0.36,0.112,2.0,-17.012,1.0,0.0334,0.972,0.13,0.109,0.236,76.56,audio_features,6QjiRMT2UX6DIUn6aDXqDf,spotify:track:6QjiRMT2UX6DIUn6aDXqDf,https://api.spotify.com/v1/tracks/6QjiRMT2UX6DIUn6aDXqDf,https://api.spotify.com/v1/audio-analysis/6QjiRMT2UX6DIUn6aDXqDf,230347.0,4.0
404923,GBCEN0000134,4foRSWZDTK8G4N9WwQAigp,Invisible Pedestrian,Bent,0.33,0.797,10.0,-8.096,1.0,0.0781,0.0294,0.768,0.0507,0.441,118.44,audio_features,4foRSWZDTK8G4N9WwQAigp,spotify:track:4foRSWZDTK8G4N9WwQAigp,https://api.spotify.com/v1/tracks/4foRSWZDTK8G4N9WwQAigp,https://api.spotify.com/v1/audio-analysis/4foRSWZDTK8G4N9WwQAigp,384240.0,5.0
137931,GBCEJ9200012,2WMkyaQFDpBM6uuxcQsIMl,Accident Waiting to Happen - Red Star Version,Billy Bragg,0.411,0.866,2.0,-6.102,1.0,0.0577,0.0333,0.0,0.264,0.61,159.08,audio_features,2WMkyaQFDpBM6uuxcQsIMl,spotify:track:2WMkyaQFDpBM6uuxcQsIMl,https://api.spotify.com/v1/tracks/2WMkyaQFDpBM6uuxcQsIMl,https://api.spotify.com/v1/audio-analysis/2WMkyaQFDpBM6uuxcQsIMl,229333.0,4.0
21383,USDW10200529,00JgdO3cQrIzMGzM8h8kvl,"Swing, Swing",The All-American Rejects,0.553,0.717,7.0,-5.857,1.0,0.0318,6.48e-05,0.128,0.0385,0.318,127.946,audio_features,00JgdO3cQrIzMGzM8h8kvl,spotify:track:00JgdO3cQrIzMGzM8h8kvl,https://api.spotify.com/v1/tracks/00JgdO3cQrIzMGzM8h8kvl,https://api.spotify.com/v1/audio-analysis/00JgdO3cQrIzMGzM8h8kvl,233267.0,4.0
50441,USMO17600043,1hlhvuxeZRQrSIbrE9LFBe,Feel All My Love Inside,Marvin Gaye,0.379,0.646,3.0,-10.339,0.0,0.045,0.501,9.59e-05,0.541,0.539,146.525,audio_features,1hlhvuxeZRQrSIbrE9LFBe,spotify:track:1hlhvuxeZRQrSIbrE9LFBe,https://api.spotify.com/v1/tracks/1hlhvuxeZRQrSIbrE9LFBe,https://api.spotify.com/v1/audio-analysis/1hlhvuxeZRQrSIbrE9LFBe,202427.0,4.0
388610,GBARL1100964,3SFi4b9bbnpZ5cI4lCV2G8,You Stole the Sun from My Heart,Manic Street Preachers,0.62,0.845,9.0,-8.02,1.0,0.0343,0.000101,0.000125,0.212,0.361,117.977,audio_features,3SFi4b9bbnpZ5cI4lCV2G8,spotify:track:3SFi4b9bbnpZ5cI4lCV2G8,https://api.spotify.com/v1/tracks/3SFi4b9bbnpZ5cI4lCV2G8,https://api.spotify.com/v1/audio-analysis/3SFi4b9bbnpZ5cI4lCV2G8,260920.0,4.0
146208,GBAAN7390008,0g8WNNu2RzOAlslvAbq4Z8,Burnin' And Lootin',The Wailers,0.896,0.407,4.0,-9.796,0.0,0.351,0.0383,5.5200000000000005e-06,0.115,0.8310000000000001,133.212,audio_features,0g8WNNu2RzOAlslvAbq4Z8,spotify:track:0g8WNNu2RzOAlslvAbq4Z8,https://api.spotify.com/v1/tracks/0g8WNNu2RzOAlslvAbq4Z8,https://api.spotify.com/v1/audio-analysis/0g8WNNu2RzOAlslvAbq4Z8,254773.0,4.0
409042,GBAYC8700229,6HdbDhysynyeh6C4p7anFI,"Ave verum corpus, K. 618",Wolfgang Amadeus Mozart,0.164,0.0462,2.0,-26.305,1.0,0.0529,0.972,0.961,0.0708,0.0322,128.843,audio_features,6HdbDhysynyeh6C4p7anFI,spotify:track:6HdbDhysynyeh6C4p7anFI,https://api.spotify.com/v1/tracks/6HdbDhysynyeh6C4p7anFI,https://api.spotify.com/v1/audio-analysis/6HdbDhysynyeh6C4p7anFI,204973.0,4.0
145577,US25T0615228,73EIJH2WDdqWgO3FxLnJYg,If Y'all Want War,Ol' Dirty Bastard,0.496,0.512,1.0,-5.475,1.0,0.183,0.0006259999999999,0.0,0.299,0.459,176.67,audio_features,73EIJH2WDdqWgO3FxLnJYg,spotify:track:73EIJH2WDdqWgO3FxLnJYg,https://api.spotify.com/v1/tracks/73EIJH2WDdqWgO3FxLnJYg,https://api.spotify.com/v1/audio-analysis/73EIJH2WDdqWgO3FxLnJYg,228280.0,4.0
126648,USUR10200634,6s50HBTn65NjrObV3ZxNuE,I Will Survive,Gloria Gaynor,0.77,0.775,9.0,-9.571,0.0,0.0495,0.0227,0.0025,0.297,0.8,116.917,audio_features,6s50HBTn65NjrObV3ZxNuE,spotify:track:6s50HBTn65NjrObV3ZxNuE,https://api.spotify.com/v1/tracks/6s50HBTn65NjrObV3ZxNuE,https://api.spotify.com/v1/audio-analysis/6s50HBTn65NjrObV3ZxNuE,296107.0,4.0
309018,USVI29900230,4MbxeSSd7uFop6FbdQD8fD,Send It On,D'Angelo,0.796,0.277,5.0,-10.848,1.0,0.0945,0.12,0.00218,0.261,0.312,127.412,audio_features,4MbxeSSd7uFop6FbdQD8fD,spotify:track:4MbxeSSd7uFop6FbdQD8fD,https://api.spotify.com/v1/tracks/4MbxeSSd7uFop6FbdQD8fD,https://api.spotify.com/v1/audio-analysis/4MbxeSSd7uFop6FbdQD8fD,355560.0,3.0
462484,USAT29800957,6JOHUboZWkIExRlNCo66Qq,Fist of Rage,Kid Rock,0.54,0.931,7.0,-3.512,1.0,0.139,0.00335,0.0,0.0767,0.641,168.066,audio_features,6JOHUboZWkIExRlNCo66Qq,spotify:track:6JOHUboZWkIExRlNCo66Qq,https://api.spotify.com/v1/tracks/6JOHUboZWkIExRlNCo66Qq,https://api.spotify.com/v1/audio-analysis/6JOHUboZWkIExRlNCo66Qq,203867.0,4.0
265562,USRC10001007,17ZBIE4e11bEHLgVG634JK,Ennui,Lou Reed,0.413,0.404,5.0,-11.354,1.0,0.0292,0.786,0.719,0.113,0.198,125.381,audio_features,17ZBIE4e11bEHLgVG634JK,spotify:track:17ZBIE4e11bEHLgVG634JK,https://api.spotify.com/v1/tracks/17ZBIE4e11bEHLgVG634JK,https://api.spotify.com/v1/audio-analysis/17ZBIE4e11bEHLgVG634JK,221773.0,3.0
138130,GBF089601062,5vFHb32rxC8sAsV5gOlZSP,How Long,Dire Straits,0.505,0.584,2.0,-9.728,1.0,0.0251,0.362,0.519,0.128,0.605,90.075,audio_features,5vFHb32rxC8sAsV5gOlZSP,spotify:track:5vFHb32rxC8sAsV5gOlZSP,https://api.spotify.com/v1/tracks/5vFHb32rxC8sAsV5gOlZSP,https://api.spotify.com/v1/audio-analysis/5vFHb32rxC8sAsV5gOlZSP,229400.0,4.0
245336,USMC14750470,1GrIgJQpMFcYzOUbZrbrAZ,White Christmas - 1947 Version,Bing Crosby,0.211,0.255,9.0,-12.964,1.0,0.0328,0.923,0.00383,0.405,0.226,85.841,audio_features,1GrIgJQpMFcYzOUbZrbrAZ,spotify:track:1GrIgJQpMFcYzOUbZrbrAZ,https://api.spotify.com/v1/tracks/1GrIgJQpMFcYzOUbZrbrAZ,https://api.spotify.com/v1/audio-analysis/1GrIgJQpMFcYzOUbZrbrAZ,185280.0,4.0
281850,USSM15800092,25H0Wd1ugPRXGM2LlpjVXM,Summertime,Miles Davis,0.402,0.0675,10.0,-19.553,0.0,0.03,0.735,0.0,0.0959,0.417,107.599,audio_features,25H0Wd1ugPRXGM2LlpjVXM,spotify:track:25H0Wd1ugPRXGM2LlpjVXM,https://api.spotify.com/v1/tracks/25H0Wd1ugPRXGM2LlpjVXM,https://api.spotify.com/v1/audio-analysis/25H0Wd1ugPRXGM2LlpjVXM,197427.0,1.0
322065,GBAHT9803002,7vMeeveFfbpgCwpq3UUm3q,Believe,Cher,0.653,0.933,6.0,-6.041,1.0,0.0522,0.00754,0.0,0.0574,0.429,132.965,audio_features,7vMeeveFfbpgCwpq3UUm3q,spotify:track:7vMeeveFfbpgCwpq3UUm3q,https://api.spotify.com/v1/tracks/7vMeeveFfbpgCwpq3UUm3q,https://api.spotify.com/v1/audio-analysis/7vMeeveFfbpgCwpq3UUm3q,238693.0,4.0
69735,GBF088400665,7GeFnloGEp1cFHHsK7nQon,Empire Building,Tears For Fears,0.6910000000000001,0.6900000000000001,11.0,-16.821,0.0,0.0322,0.0472,0.225,0.25,0.327,107.652,audio_features,7GeFnloGEp1cFHHsK7nQon,spotify:track:7GeFnloGEp1cFHHsK7nQon,https://api.spotify.com/v1/tracks/7GeFnloGEp1cFHHsK7nQon,https://api.spotify.com/v1/audio-analysis/7GeFnloGEp1cFHHsK7nQon,172449.0,4.0
28878,USJI19710083,3FMSEeODpywjD8BMY6Umj6,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,0.73,0.844,10.0,-5.238,0.0,0.0353,0.0398,0.0,0.226,0.555,108.037,audio_features,3FMSEeODpywjD8BMY6Umj6,spotify:track:3FMSEeODpywjD8BMY6Umj6,https://api.spotify.com/v1/tracks/3FMSEeODpywjD8BMY6Umj6,https://api.spotify.com/v1/audio-analysis/3FMSEeODpywjD8BMY6Umj6,219853.0,4.0
355977,DEA629762130,44tsgE1tg0eCSfoRdvh1vB,New Horizons,Alphaville,0.611,0.615,0.0,-9.38,1.0,0.0282,0.167,0.000233,0.0581,0.322,127.919,audio_features,44tsgE1tg0eCSfoRdvh1vB,spotify:track:44tsgE1tg0eCSfoRdvh1vB,https://api.spotify.com/v1/tracks/44tsgE1tg0eCSfoRdvh1vB,https://api.spotify.com/v1/audio-analysis/44tsgE1tg0eCSfoRdvh1vB,335640.0,4.0
3918,GBAAA0001038,2RkGUwVAXM0bCyxBWvG03e,Senses Working Overtime - Remastered 2001,XTC,0.679,0.78,4.0,-6.864,1.0,0.0372,0.0848,6.42e-05,0.193,0.8300000000000001,129.906,audio_features,2RkGUwVAXM0bCyxBWvG03e,spotify:track:2RkGUwVAXM0bCyxBWvG03e,https://api.spotify.com/v1/tracks/2RkGUwVAXM0bCyxBWvG03e,https://api.spotify.com/v1/audio-analysis/2RkGUwVAXM0bCyxBWvG03e,272547.0,4.0
363401,USSH50287242,41VZ8RFGH0Yyx9gpUMoTNp,Out Here In The Middle,James McMurtry,0.561,0.511,9.0,-8.092,1.0,0.0248,0.446,0.0572,0.204,0.305,72.686,audio_features,41VZ8RFGH0Yyx9gpUMoTNp,spotify:track:41VZ8RFGH0Yyx9gpUMoTNp,https://api.spotify.com/v1/tracks/41VZ8RFGH0Yyx9gpUMoTNp,https://api.spotify.com/v1/audio-analysis/41VZ8RFGH0Yyx9gpUMoTNp,261427.0,4.0
165585,USSM19501784,4RaxnzmTN4bojbbEYtvXjk,The Ghost of Tom Joad,Bruce Springsteen,0.445,0.0975,11.0,-16.906,0.0,0.0357,0.43,0.284,0.142,0.0771,88.495,audio_features,4RaxnzmTN4bojbbEYtvXjk,spotify:track:4RaxnzmTN4bojbbEYtvXjk,https://api.spotify.com/v1/tracks/4RaxnzmTN4bojbbEYtvXjk,https://api.spotify.com/v1/audio-analysis/4RaxnzmTN4bojbbEYtvXjk,263467.0,4.0
427858,NLA509708208,24Kxpf2IvfRR4WHBUBUs5F,Caccini: Ave Maria (Arr. Cullen for Cello and Orchestra),Julian Lloyd Webber,0.0764,0.117,4.0,-22.9,0.0,0.0445,0.977,0.894,0.123,0.0388,78.908,audio_features,24Kxpf2IvfRR4WHBUBUs5F,spotify:track:24Kxpf2IvfRR4WHBUBUs5F,https://api.spotify.com/v1/tracks/24Kxpf2IvfRR4WHBUBUs5F,https://api.spotify.com/v1/audio-analysis/24Kxpf2IvfRR4WHBUBUs5F,329547.0,4.0
24427,USAM10000252,6XADu9Jto5r1f9rijUgJ81,Giving It All To The Wind,The Ozark Mountain Daredevils,0.422,0.268,2.0,-16.063,1.0,0.0339,0.683,0.197,0.15,0.0984,113.603,audio_features,6XADu9Jto5r1f9rijUgJ81,spotify:track:6XADu9Jto5r1f9rijUgJ81,https://api.spotify.com/v1/tracks/6XADu9Jto5r1f9rijUgJ81,https://api.spotify.com/v1/audio-analysis/6XADu9Jto5r1f9rijUgJ81,255067.0,4.0
264159,USMC16508882,1nWayGfd70y4tv3sELjq5S,Such Trying Times,Marlene Dietrich,0.63,0.318,5.0,-12.715,0.0,0.144,0.498,6.269999999999999e-05,0.0205,0.589,96.072,audio_features,1nWayGfd70y4tv3sELjq5S,spotify:track:1nWayGfd70y4tv3sELjq5S,https://api.spotify.com/v1/tracks/1nWayGfd70y4tv3sELjq5S,https://api.spotify.com/v1/audio-analysis/1nWayGfd70y4tv3sELjq5S,177880.0,4.0
362410,HKI199339802,2P7pCUKMFLKAJDHla3VQP8,"The Nutcracker Suite, Op. 71a: VIII. Waltz of the Flowers",Pyotr Ilyich Tchaikovsky,0.213,0.135,2.0,-17.576,1.0,0.0354,0.959,0.807,0.0538,0.0846,96.383,audio_features,2P7pCUKMFLKAJDHla3VQP8,spotify:track:2P7pCUKMFLKAJDHla3VQP8,https://api.spotify.com/v1/tracks/2P7pCUKMFLKAJDHla3VQP8,https://api.spotify.com/v1/audio-analysis/2P7pCUKMFLKAJDHla3VQP8,410067.0,3.0
323146,USA176410310,30ltAVbZ9f96QBDAqm9EqN,Money - (Original Single Mono Version),The Rolling Stones,0.382,0.8310000000000001,2.0,-8.469,1.0,0.0424,0.0182,0.00033,0.125,0.88,137.319,audio_features,30ltAVbZ9f96QBDAqm9EqN,spotify:track:30ltAVbZ9f96QBDAqm9EqN,https://api.spotify.com/v1/tracks/30ltAVbZ9f96QBDAqm9EqN,https://api.spotify.com/v1/audio-analysis/30ltAVbZ9f96QBDAqm9EqN,151320.0,4.0
402376,JPKI09522450,3x4378ztiLvFmm2nuzEI0C,The Cruel Angel's Thesis (Director's Edit Version),Yoko Takahashi,0.646,0.677,0.0,-9.477,0.0,0.0432,0.0337,2e-06,0.13,0.588,128.125,audio_features,3x4378ztiLvFmm2nuzEI0C,spotify:track:3x4378ztiLvFmm2nuzEI0C,https://api.spotify.com/v1/tracks/3x4378ztiLvFmm2nuzEI0C,https://api.spotify.com/v1/audio-analysis/3x4378ztiLvFmm2nuzEI0C,245093.0,4.0
68549,GBCVT9900012,5wq8wceQvaFlOZovDtfr0j,Sunburn,Muse,0.474,0.905,4.0,-6.1370000000000005,0.0,0.0842,0.122,0.00154,0.166,0.322,93.02,audio_features,5wq8wceQvaFlOZovDtfr0j,spotify:track:5wq8wceQvaFlOZovDtfr0j,https://api.spotify.com/v1/tracks/5wq8wceQvaFlOZovDtfr0j,https://api.spotify.com/v1/audio-analysis/5wq8wceQvaFlOZovDtfr0j,233733.0,4.0
189496,USUMC0400039,0YnzetSwbgQRs8jH5Dy7J8,Final Battle,Alan Silvestri,0.228,0.455,7.0,-11.821,0.0,0.0534,0.106,0.88,0.273,0.0799,93.083,audio_features,0YnzetSwbgQRs8jH5Dy7J8,spotify:track:0YnzetSwbgQRs8jH5Dy7J8,https://api.spotify.com/v1/tracks/0YnzetSwbgQRs8jH5Dy7J8,https://api.spotify.com/v1/audio-analysis/0YnzetSwbgQRs8jH5Dy7J8,388880.0,4.0
311611,USMR18210014,600p5yFQWKHxqEvejm6GfN,I Love It Loud - 2022 Remastered,KISS,0.356,0.918,4.0,-6.47,1.0,0.0674,0.00184,0.0,0.0771,0.182,170.81,audio_features,600p5yFQWKHxqEvejm6GfN,spotify:track:600p5yFQWKHxqEvejm6GfN,https://api.spotify.com/v1/tracks/600p5yFQWKHxqEvejm6GfN,https://api.spotify.com/v1/audio-analysis/600p5yFQWKHxqEvejm6GfN,254613.0,4.0
409587,USRE10400527,27C7PbgqQkjksf1ul2AqU0,Eyes of the World - Live on PBS in Boston 2004,Fleetwood Mac,0.462,0.953,8.0,-5.939,1.0,0.0891,0.0123,0.0602,0.992,0.33,157.124,audio_features,27C7PbgqQkjksf1ul2AqU0,spotify:track:27C7PbgqQkjksf1ul2AqU0,https://api.spotify.com/v1/tracks/27C7PbgqQkjksf1ul2AqU0,https://api.spotify.com/v1/audio-analysis/27C7PbgqQkjksf1ul2AqU0,207080.0,4.0
125276,USAT29902050,7qQ66B2FBjhBUoemeyrcBN,When a Man Loves a Woman,Percy Sledge,0.516,0.15,1.0,-20.41,1.0,0.0272,0.13,0.0755,0.122,0.206,97.398,audio_features,7qQ66B2FBjhBUoemeyrcBN,spotify:track:7qQ66B2FBjhBUoemeyrcBN,https://api.spotify.com/v1/tracks/7qQ66B2FBjhBUoemeyrcBN,https://api.spotify.com/v1/audio-analysis/7qQ66B2FBjhBUoemeyrcBN,173867.0,3.0
46265,GBAYC9702115,3HRzwheNKLi3ufWy3qkBgk,"Mozart: Horn Concerto No. 4 in E-Flat Major, K. 495: II. Romance. Andante cantabile",Wolfgang Amadeus Mozart,0.106,0.0481,10.0,-21.357,1.0,0.043,0.988,0.979,0.122,0.141,69.065,audio_features,3HRzwheNKLi3ufWy3qkBgk,spotify:track:3HRzwheNKLi3ufWy3qkBgk,https://api.spotify.com/v1/tracks/3HRzwheNKLi3ufWy3qkBgk,https://api.spotify.com/v1/audio-analysis/3HRzwheNKLi3ufWy3qkBgk,268107.0,3.0
22373,DEF059631201,6UAbnPZL9fRnvJ8c80VJLn,"20 Irish Songs, WoO 153: 6. Sad and Luckless Was the Season",Ludwig van Beethoven,0.297,0.0812,3.0,-20.9,1.0,0.0418,0.988,0.0398,0.125,0.225,135.259,audio_features,6UAbnPZL9fRnvJ8c80VJLn,spotify:track:6UAbnPZL9fRnvJ8c80VJLn,https://api.spotify.com/v1/tracks/6UAbnPZL9fRnvJ8c80VJLn,https://api.spotify.com/v1/audio-analysis/6UAbnPZL9fRnvJ8c80VJLn,240000.0,3.0
100731,USUR10200371,5Y0F9vg27N0yUASXAqJJcs,Hot In Herre,Nelly,0.957,0.745,11.0,-4.753,0.0,0.121,0.203,0.0,0.0615,0.913,107.077,audio_features,5Y0F9vg27N0yUASXAqJJcs,spotify:track:5Y0F9vg27N0yUASXAqJJcs,https://api.spotify.com/v1/tracks/5Y0F9vg27N0yUASXAqJJcs,https://api.spotify.com/v1/audio-analysis/5Y0F9vg27N0yUASXAqJJcs,228240.0,4.0
